               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.018674,           0.0067961,            0.019389,              0.8918,             0.88435,             0.93244,             0.82209,            0.013076,           0.0027173,            0.011352,            0.070173,           0.0033141,           0.0033141
                   1,            0.018476,           0.0064217,            0.017364,             0.81249,             0.87271,             0.92563,             0.76132,            0.014972,           0.0027003,            0.015594,            0.039667,           0.0061412,           0.0061412
                   2,             0.02134,           0.0067758,            0.018922,             0.80898,             0.76559,             0.83434,             0.66654,            0.018183,           0.0036999,            0.020375,           0.0086533,           0.0084606,           0.0084606
                   3,            0.021911,           0.0070001,            0.018361,             0.82817,             0.82558,             0.90606,              0.7385,            0.017043,           0.0032478,            0.018797,           0.0077154,           0.0077154,           0.0077154
                   4,            0.022095,           0.0071887,            0.019654,             0.84421,             0.83531,              0.8986,             0.73315,            0.016386,           0.0031374,            0.012661,           0.0077154,           0.0077154,           0.0077154
                   5,             0.02061,           0.0068078,            0.018759,             0.80742,             0.81258,             0.88027,             0.71254,            0.016997,           0.0033064,            0.018619,           0.0069538,           0.0069538,           0.0069538
                   6,            0.019427,           0.0066402,            0.018036,              0.7757,             0.81691,             0.88641,             0.74673,            0.015364,           0.0029114,             0.02475,           0.0061923,           0.0061923,           0.0061923
                   7,            0.018067,           0.0062579,            0.017497,             0.87706,             0.90718,              0.9623,              0.8389,            0.013507,           0.0024754,            0.011331,           0.0054308,           0.0054308,           0.0054308
                   8,            0.017645,           0.0060628,            0.015485,             0.86291,              0.8954,              0.9438,             0.83385,            0.013435,            0.002485,            0.011551,           0.0046692,           0.0046692,           0.0046692
                   9,            0.016171,           0.0058993,            0.014215,             0.85251,             0.87655,             0.93818,             0.85085,            0.012095,           0.0024287,            0.017373,           0.0039077,           0.0039077,           0.0039077
                  10,            0.014723,           0.0054913,            0.014042,             0.94489,             0.91067,             0.97672,              0.8976,            0.010549,           0.0021928,           0.0059279,           0.0031462,           0.0031462,           0.0031462
                  11,            0.013706,           0.0052422,            0.012435,              0.9097,             0.93318,             0.97462,             0.90532,            0.010604,           0.0020863,           0.0066027,           0.0023846,           0.0023846,           0.0023846
                  12,            0.012699,           0.0050293,            0.011533,             0.94202,             0.92689,             0.97506,             0.92611,            0.010215,           0.0020111,           0.0053507,           0.0016231,           0.0016231,           0.0016231
